Index,PGHabit,BHabit,PHeight,StemHairs,StemColor,StemIColor,NoNodes,StemDiam,LeafShape,LeafColor
1,Spreading,Branched,1.5,Intermediate,Green,Light,Error,Error,Error,Green
2,Intermediate,Moderate,Error,Hairy,Intermediate,Light,Error,Error,Error,Green
3,Intermediate,Sparse,Error,Glabrous,Purple,Light,Error,Error,Error,Green
4,Erect,Branched,Error,Glabrous,Green,Light,Error,Error,Error,Green
5,Intermediate,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
6,Intermediate,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
7,Intermediate,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
8,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
9,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
10,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
11,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
12,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
13,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
14,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
15,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
16,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
17,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
18,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
19,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
20,Erect,Sparse,Error,Glabrous,Green,Light,Error,Error,Error,Green
